"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,106.373,"MEDIUM","Williams",7,"Dry",NA,8,2,3,2,4,3,2,3,3
2,"ALB",2,23,130.798,"MEDIUM","Williams",6,"Dry",NA,8,2,3,2,4,3,2,3,3
3,"ALB",3,23,129.355,"MEDIUM","Williams",6,"Dry",NA,8,2,3,2,4,3,2,3,3
4,"ALB",4,23,84.327,"MEDIUM","Williams",6,"Dry",NA,8,2,3,2,4,3,2,3,3
5,"ALB",5,23,83.639,"MEDIUM","Williams",6,"Dry",NA,8,2,3,2,4,3,2,3,3
6,"ALB",6,23,83.349,"MEDIUM","Williams",6,"Dry",NA,8,2,3,2,4,3,2,3,3
7,"ALB",7,23,NA,"MEDIUM","Williams",NA,"Dry",NA,8,2,3,2,4,3,2,3,3
8,"ALO",1,14,105.543,"MEDIUM","Aston Martin",6,"Dry",NA,4,2,3,2,4,3,2,3,3
9,"ALO",2,14,130.728,"MEDIUM","Aston Martin",5,"Dry",NA,4,2,3,2,4,3,2,3,3
10,"ALO",3,14,129.502,"MEDIUM","Aston Martin",5,"Dry",NA,4,2,3,2,4,3,2,3,3
11,"ALO",4,14,84.293,"MEDIUM","Aston Martin",5,"Dry",NA,4,2,3,2,4,3,2,3,3
12,"ALO",5,14,83.29,"MEDIUM","Aston Martin",5,"Dry",NA,4,2,3,2,4,3,2,3,3
13,"ALO",6,14,82.603,"MEDIUM","Aston Martin",5,"Dry",NA,4,2,3,2,4,3,2,3,3
14,"ALO",7,14,95.355,"MEDIUM","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
15,"ALO",8,14,NA,"MEDIUM","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
16,"ALO",9,14,NA,"HARD","Aston Martin",3,"Dry","15:26.940",4,2,3,2,4,3,2,3,3
17,"ALO",10,14,88.668,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
18,"ALO",11,14,84.644,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
19,"ALO",12,14,83.321,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
20,"ALO",13,14,83.634,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
21,"ALO",14,14,83.424,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
22,"ALO",15,14,83.008,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
23,"ALO",16,14,82.26,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
24,"ALO",17,14,82.261,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
25,"ALO",18,14,101.221,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
26,"ALO",19,14,102.386,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
27,"ALO",20,14,82.913,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
28,"ALO",21,14,82.921,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
29,"ALO",22,14,83.054,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
30,"ALO",23,14,83.087,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
31,"ALO",24,14,82.885,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
32,"ALO",25,14,82.934,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
33,"ALO",26,14,82.325,"HARD","Aston Martin",3,"Dry",NA,4,2,3,2,4,3,2,3,3
