"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,106.453,"SOFT","Williams",12,"Dry",NA,15,4,3,5,4,3,4,3,3
2,"ALB",2,23,100.43,"SOFT","Williams",12,"Dry",NA,15,4,3,5,4,3,4,3,3
3,"ALB",3,23,100.143,"SOFT","Williams",12,"Dry",NA,15,4,3,5,4,3,4,3,3
4,"ALB",4,23,99.761,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
5,"ALB",5,23,100.606,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
6,"ALB",6,23,100.744,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
7,"ALB",7,23,100.646,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
8,"ALB",8,23,100.918,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
9,"ALB",9,23,100.969,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
10,"ALB",10,23,101.119,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
11,"ALB",11,23,103.948,"SOFT","Williams",12,"Dry",NA,15,4,3,5,4,3,4,3,3
12,"ALB",12,23,119.445,"SOFT","Williams",15,"Dry",25.054,15,4,3,5,4,3,4,3,3
13,"ALB",13,23,98.649,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
14,"ALB",14,23,98.472,"SOFT","Williams",11,"Dry",NA,15,4,3,5,4,3,4,3,3
15,"ALB",15,23,99.158,"SOFT","Williams",10,"Dry",NA,15,4,3,5,4,3,4,3,3
16,"ALB",16,23,99.253,"SOFT","Williams",10,"Dry",NA,15,4,3,5,4,3,4,3,3
17,"ALB",17,23,99.094,"SOFT","Williams",10,"Dry",NA,15,4,3,5,4,3,4,3,3
18,"ALB",18,23,99.049,"SOFT","Williams",10,"Dry",NA,15,4,3,5,4,3,4,3,3
