"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,118.185,"MEDIUM","Williams",12,"Dry",NA,12,5,1,1,5,3,4,1,1
2,"ALB",2,23,109.728,"MEDIUM","Williams",12,"Dry",NA,12,5,1,1,5,3,4,1,1
3,"ALB",3,23,108.815,"MEDIUM","Williams",12,"Dry",NA,12,5,1,1,5,3,4,1,1
4,"ALB",4,23,109.004,"MEDIUM","Williams",12,"Dry",NA,12,5,1,1,5,3,4,1,1
5,"ALB",5,23,108.689,"MEDIUM","Williams",12,"Dry",NA,12,5,1,1,5,3,4,1,1
6,"ALB",6,23,108.53,"MEDIUM","Williams",12,"Dry",NA,12,5,1,1,5,3,4,1,1
7,"ALB",7,23,112.993,"MEDIUM","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
8,"ALB",8,23,126.167,"HARD","Williams",18,"Dry",21.103,12,5,1,1,5,3,4,1,1
9,"ALB",9,23,107.968,"HARD","Williams",17,"Dry",NA,12,5,1,1,5,3,4,1,1
10,"ALB",10,23,120.959,"HARD","Williams",16,"Dry",NA,12,5,1,1,5,3,4,1,1
11,"ALB",11,23,149.002,"HARD","Williams",15,"Dry",NA,12,5,1,1,5,3,4,1,1
12,"ALB",12,23,135.098,"HARD","Williams",15,"Dry",NA,12,5,1,1,5,3,4,1,1
13,"ALB",13,23,148.547,"HARD","Williams",15,"Dry",NA,12,5,1,1,5,3,4,1,1
14,"ALB",14,23,112.578,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
15,"ALB",15,23,108.928,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
16,"ALB",16,23,108.111,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
17,"ALB",17,23,107.727,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
18,"ALB",18,23,107.982,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
19,"ALB",19,23,107.776,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
20,"ALB",20,23,107.693,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
21,"ALB",21,23,108.151,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
22,"ALB",22,23,107.986,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
23,"ALB",23,23,107.949,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
24,"ALB",24,23,108.076,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
25,"ALB",25,23,108.114,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
26,"ALB",26,23,107.911,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
27,"ALB",27,23,107.77,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
28,"ALB",28,23,108.057,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
29,"ALB",29,23,107.858,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
30,"ALB",30,23,107.38,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
31,"ALB",31,23,107.37,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
32,"ALB",32,23,107.64,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
33,"ALB",33,23,107.284,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
34,"ALB",34,23,107.486,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
35,"ALB",35,23,107.277,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
36,"ALB",36,23,107.763,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
37,"ALB",37,23,107.27,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
38,"ALB",38,23,107.155,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
39,"ALB",39,23,106.972,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
40,"ALB",40,23,107.049,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
41,"ALB",41,23,106.853,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
42,"ALB",42,23,106.845,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
43,"ALB",43,23,106.607,"HARD","Williams",14,"Dry",NA,12,5,1,1,5,3,4,1,1
