"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,92.275,"SOFT","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
2,"ALB",2,23,83.056,"SOFT","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
3,"ALB",3,23,82.115,"SOFT","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
4,"ALB",4,23,81.84,"SOFT","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
5,"ALB",5,23,81.845,"SOFT","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
6,"ALB",6,23,81.896,"SOFT","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
7,"ALB",7,23,83.182,"SOFT","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
8,"ALB",8,23,82.386,"SOFT","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
9,"ALB",9,23,82.443,"SOFT","Williams",15,"Dry",NA,18,3,3,4,3,5,3,5,4
10,"ALB",10,23,82.507,"SOFT","Williams",13,"Dry",NA,18,3,3,4,3,5,3,5,4
11,"ALB",11,23,82.274,"SOFT","Williams",12,"Dry",NA,18,3,3,4,3,5,3,5,4
12,"ALB",12,23,82.189,"SOFT","Williams",12,"Dry",NA,18,3,3,4,3,5,3,5,4
13,"ALB",13,23,82.081,"SOFT","Williams",12,"Dry",NA,18,3,3,4,3,5,3,5,4
14,"ALB",14,23,82.137,"SOFT","Williams",11,"Dry",NA,18,3,3,4,3,5,3,5,4
15,"ALB",15,23,82.189,"SOFT","Williams",10,"Dry",NA,18,3,3,4,3,5,3,5,4
16,"ALB",16,23,86.763,"SOFT","Williams",14,"Dry",NA,18,3,3,4,3,5,3,5,4
17,"ALB",17,23,102.254,"HARD","Williams",20,"Dry",23.319,18,3,3,4,3,5,3,5,4
18,"ALB",18,23,80.754,"HARD","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
19,"ALB",19,23,80.593,"HARD","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
20,"ALB",20,23,80.897,"HARD","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
21,"ALB",21,23,80.981,"HARD","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
22,"ALB",22,23,81.195,"HARD","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
23,"ALB",23,23,81.094,"HARD","Williams",18,"Dry",NA,18,3,3,4,3,5,3,5,4
24,"ALB",24,23,81.121,"HARD","Williams",18,"Dry",NA,18,3,3,4,3,5,3,5,4
25,"ALB",25,23,81.114,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
26,"ALB",26,23,81.02,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
27,"ALB",27,23,80.762,"HARD","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
28,"ALB",28,23,81.033,"HARD","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
29,"ALB",29,23,80.895,"HARD","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
30,"ALB",30,23,80.671,"HARD","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
31,"ALB",31,23,80.912,"HARD","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
32,"ALB",32,23,82.413,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
33,"ALB",33,23,81.221,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
34,"ALB",34,23,81.159,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
35,"ALB",35,23,80.941,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
36,"ALB",36,23,81.342,"HARD","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
37,"ALB",37,23,86.232,"HARD","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
38,"ALB",38,23,98.923,"MEDIUM","Williams",19,"Dry",23.449,18,3,3,4,3,5,3,5,4
39,"ALB",39,23,79.77,"MEDIUM","Williams",19,"Dry",NA,18,3,3,4,3,5,3,5,4
40,"ALB",40,23,79.546,"MEDIUM","Williams",18,"Dry",NA,18,3,3,4,3,5,3,5,4
41,"ALB",41,23,79.5,"MEDIUM","Williams",18,"Dry",NA,18,3,3,4,3,5,3,5,4
42,"ALB",42,23,79.639,"MEDIUM","Williams",18,"Dry",NA,18,3,3,4,3,5,3,5,4
43,"ALB",43,23,79.836,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
44,"ALB",44,23,79.758,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
45,"ALB",45,23,79.654,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
46,"ALB",46,23,79.62,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
47,"ALB",47,23,79.525,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
48,"ALB",48,23,79.426,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
49,"ALB",49,23,79.712,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
50,"ALB",50,23,79.65,"MEDIUM","Williams",17,"Dry",NA,18,3,3,4,3,5,3,5,4
51,"ALB",51,23,79.447,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
52,"ALB",52,23,79.39,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
53,"ALB",53,23,79.327,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
54,"ALB",54,23,79.347,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
55,"ALB",55,23,79.415,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
56,"ALB",56,23,79.343,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
57,"ALB",57,23,79.189,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
58,"ALB",58,23,79.248,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
59,"ALB",59,23,79.133,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
60,"ALB",60,23,79.26,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
61,"ALB",61,23,80.461,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
62,"ALB",62,23,79.647,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
63,"ALB",63,23,79.374,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
64,"ALB",64,23,79.307,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
65,"ALB",65,23,79.419,"MEDIUM","Williams",16,"Dry",NA,18,3,3,4,3,5,3,5,4
66,"ALO",1,14,88.039,"SOFT","Aston Martin",6,"Dry",NA,8,3,3,4,3,5,3,5,4
67,"ALO",2,14,81.792,"SOFT","Aston Martin",6,"Dry",NA,8,3,3,4,3,5,3,5,4
68,"ALO",3,14,81.574,"SOFT","Aston Martin",6,"Dry",NA,8,3,3,4,3,5,3,5,4
69,"ALO",4,14,80.717,"SOFT","Aston Martin",6,"Dry",NA,8,3,3,4,3,5,3,5,4
70,"ALO",5,14,81.289,"SOFT","Aston Martin",6,"Dry",NA,8,3,3,4,3,5,3,5,4
71,"ALO",6,14,81.631,"SOFT","Aston Martin",6,"Dry",NA,8,3,3,4,3,5,3,5,4
72,"ALO",7,14,82.087,"SOFT","Aston Martin",7,"Dry",NA,8,3,3,4,3,5,3,5,4
73,"ALO",8,14,81.776,"SOFT","Aston Martin",7,"Dry",NA,8,3,3,4,3,5,3,5,4
74,"ALO",9,14,81.35,"SOFT","Aston Martin",7,"Dry",NA,8,3,3,4,3,5,3,5,4
75,"ALO",10,14,81.34,"SOFT","Aston Martin",7,"Dry",NA,8,3,3,4,3,5,3,5,4
