"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,105.985,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
2,"ALB",2,23,98.916,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
3,"ALB",3,23,97.065,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
4,"ALB",4,23,96.913,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
5,"ALB",5,23,97.108,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
6,"ALB",6,23,97.004,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
7,"ALB",7,23,97.577,"MEDIUM","Williams",16,"Dry",NA,17,2,3,2,4,3,2,3,2
8,"ALB",8,23,97.053,"MEDIUM","Williams",15,"Dry",NA,17,2,3,2,4,3,2,3,2
9,"ALB",9,23,96.126,"MEDIUM","Williams",14,"Dry",NA,17,2,3,2,4,3,2,3,2
10,"ALB",10,23,96.311,"MEDIUM","Williams",14,"Dry",NA,17,2,3,2,4,3,2,3,2
11,"ALB",11,23,95.911,"MEDIUM","Williams",14,"Dry",NA,17,2,3,2,4,3,2,3,2
12,"ALB",12,23,96.066,"MEDIUM","Williams",12,"Dry",NA,17,2,3,2,4,3,2,3,2
13,"ALB",13,23,96.026,"MEDIUM","Williams",12,"Dry",NA,17,2,3,2,4,3,2,3,2
14,"ALB",14,23,96.878,"MEDIUM","Williams",12,"Dry",NA,17,2,3,2,4,3,2,3,2
15,"ALB",15,23,96.622,"MEDIUM","Williams",11,"Dry",NA,17,2,3,2,4,3,2,3,2
16,"ALB",16,23,96.83,"MEDIUM","Williams",11,"Dry",NA,17,2,3,2,4,3,2,3,2
