"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,101.364,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
2,"ALB",2,23,95.004,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
3,"ALB",3,23,93.809,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
4,"ALB",4,23,93.866,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
5,"ALB",5,23,93.86,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
6,"ALB",6,23,94.21,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
7,"ALB",7,23,94.099,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
8,"ALB",8,23,93.922,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
9,"ALB",9,23,93.731,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
10,"ALB",10,23,94.045,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
11,"ALB",11,23,93.842,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
12,"ALB",12,23,93.857,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
13,"ALB",13,23,93.751,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
14,"ALB",14,23,93.951,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
15,"ALB",15,23,93.786,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
16,"ALB",16,23,94.343,"MEDIUM","Williams",11,"Dry",NA,8,3,3,3,2,5,2,5,4
17,"ALB",17,23,93.707,"MEDIUM","Williams",11,"Dry",NA,8,3,3,3,2,5,2,5,4
18,"ALB",18,23,93.615,"MEDIUM","Williams",11,"Dry",NA,8,3,3,3,2,5,2,5,4
19,"ALB",19,23,93.654,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
20,"ALB",20,23,93.44,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
21,"ALB",21,23,93.195,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
22,"ALB",22,23,93.021,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
23,"ALB",23,23,93.117,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
24,"ALB",24,23,93.163,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
25,"ALB",25,23,93.374,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
26,"ALB",26,23,93.175,"MEDIUM","Williams",10,"Dry",NA,8,3,3,3,2,5,2,5,4
27,"ALB",27,23,93.126,"MEDIUM","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
28,"ALB",28,23,93.084,"MEDIUM","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
29,"ALB",29,23,92.869,"MEDIUM","Williams",7,"Dry",NA,8,3,3,3,2,5,2,5,4
30,"ALB",30,23,92.882,"MEDIUM","Williams",7,"Dry",NA,8,3,3,3,2,5,2,5,4
31,"ALB",31,23,92.816,"MEDIUM","Williams",7,"Dry",NA,8,3,3,3,2,5,2,5,4
32,"ALB",32,23,96.773,"MEDIUM","Williams",6,"Dry",NA,8,3,3,3,2,5,2,5,4
33,"ALB",33,23,146.603,"SOFT","Williams",9,"Dry",29.634,8,3,3,3,2,5,2,5,4
34,"ALB",34,23,126.403,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
35,"ALB",35,23,142.565,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
36,"ALB",36,23,145.067,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
37,"ALB",37,23,145.628,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
38,"ALB",38,23,135.556,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
39,"ALB",39,23,92.63,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
40,"ALB",40,23,92.176,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
41,"ALB",41,23,91.273,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
42,"ALB",42,23,91.879,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
43,"ALB",43,23,91.752,"SOFT","Williams",9,"Dry",NA,8,3,3,3,2,5,2,5,4
44,"ALB",44,23,92.057,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
45,"ALB",45,23,92.146,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
46,"ALB",46,23,92.116,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
47,"ALB",47,23,91.537,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
48,"ALB",48,23,91.466,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
49,"ALB",49,23,91.912,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
50,"ALB",50,23,91.86,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
51,"ALB",51,23,91.93,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
52,"ALB",52,23,91.809,"SOFT","Williams",8,"Dry",NA,8,3,3,3,2,5,2,5,4
53,"ALO",1,14,100.026,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
54,"ALO",2,14,94.419,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
55,"ALO",3,14,93.424,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
56,"ALO",4,14,93.156,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
57,"ALO",5,14,94.157,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
58,"ALO",6,14,94.636,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
59,"ALO",7,14,94.645,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
60,"ALO",8,14,94.019,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
61,"ALO",9,14,93.657,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
62,"ALO",10,14,93.711,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
63,"ALO",11,14,93.737,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
64,"ALO",12,14,93.951,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
65,"ALO",13,14,93.565,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
66,"ALO",14,14,93.88,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
67,"ALO",15,14,93.736,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
68,"ALO",16,14,93.437,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
69,"ALO",17,14,93.188,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
70,"ALO",18,14,93.317,"MEDIUM","Aston Martin",8,"Dry",NA,9,3,3,3,2,5,2,5,4
71,"ALO",19,14,93.185,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
72,"ALO",20,14,93.016,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
73,"ALO",21,14,93.19,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
74,"ALO",22,14,93.092,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
75,"ALO",23,14,93.026,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
76,"ALO",24,14,93.017,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
77,"ALO",25,14,93.078,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
78,"ALO",26,14,93.152,"MEDIUM","Aston Martin",7,"Dry",NA,9,3,3,3,2,5,2,5,4
79,"ALO",27,14,92.914,"MEDIUM","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
80,"ALO",28,14,92.744,"MEDIUM","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
81,"ALO",29,14,92.727,"MEDIUM","Aston Martin",5,"Dry",NA,9,3,3,3,2,5,2,5,4
82,"ALO",30,14,92.686,"MEDIUM","Aston Martin",4,"Dry",NA,9,3,3,3,2,5,2,5,4
83,"ALO",31,14,92.916,"MEDIUM","Aston Martin",4,"Dry",NA,9,3,3,3,2,5,2,5,4
84,"ALO",32,14,98.559,"MEDIUM","Aston Martin",4,"Dry",NA,9,3,3,3,2,5,2,5,4
85,"ALO",33,14,123.93,"MEDIUM","Aston Martin",4,"Dry",NA,9,3,3,3,2,5,2,5,4
86,"ALO",34,14,147.213,"SOFT","Aston Martin",6,"Dry",28.679,9,3,3,3,2,5,2,5,4
87,"ALO",35,14,145.191,"SOFT","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
88,"ALO",36,14,145.427,"SOFT","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
89,"ALO",37,14,145.274,"SOFT","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
90,"ALO",38,14,137.955,"SOFT","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
91,"ALO",39,14,92.32,"SOFT","Aston Martin",6,"Dry",NA,9,3,3,3,2,5,2,5,4
