"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,120.359,"SOFT","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
2,"ALB",2,23,114.821,"SOFT","Williams",9,"Dry",NA,15,4,3,4,3,5,4,5,2
3,"ALB",3,23,113.907,"SOFT","Williams",9,"Dry",NA,15,4,3,4,3,5,4,5,2
4,"ALB",4,23,115.004,"SOFT","Williams",8,"Dry",NA,15,4,3,4,3,5,4,5,2
5,"ALB",5,23,115.653,"SOFT","Williams",7,"Dry",NA,15,4,3,4,3,5,4,5,2
6,"ALB",6,23,114.309,"SOFT","Williams",7,"Dry",NA,15,4,3,4,3,5,4,5,2
7,"ALB",7,23,118.541,"SOFT","Williams",9,"Dry",NA,15,4,3,4,3,5,4,5,2
8,"ALB",8,23,127.31,"MEDIUM","Williams",13,"Dry",25.015,15,4,3,4,3,5,4,5,2
9,"ALB",9,23,111.937,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
10,"ALB",10,23,111.774,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
11,"ALB",11,23,113.93,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
12,"ALB",12,23,113.815,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
13,"ALB",13,23,113.705,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
14,"ALB",14,23,113.822,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
15,"ALB",15,23,114.522,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
16,"ALB",16,23,115.068,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
17,"ALB",17,23,114.996,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
18,"ALB",18,23,114.701,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
19,"ALB",19,23,115.183,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
20,"ALB",20,23,116.307,"MEDIUM","Williams",10,"Wet",NA,15,4,3,4,3,5,4,5,2
21,"ALB",21,23,116.16,"MEDIUM","Williams",10,"Wet",NA,15,4,3,4,3,5,4,5,2
22,"ALB",22,23,115.435,"MEDIUM","Williams",9,"Wet",NA,15,4,3,4,3,5,4,5,2
23,"ALB",23,23,119.277,"MEDIUM","Williams",10,"Wet",NA,15,4,3,4,3,5,4,5,2
24,"ALB",24,23,126.441,"MEDIUM","Williams",15,"Wet",23.596,15,4,3,4,3,5,4,5,2
25,"ALB",25,23,111.432,"MEDIUM","Williams",12,"Dry",NA,15,4,3,4,3,5,4,5,2
26,"ALB",26,23,111.563,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
27,"ALB",27,23,111.888,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
28,"ALB",28,23,112.076,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
29,"ALB",29,23,112.691,"MEDIUM","Williams",10,"Dry",NA,15,4,3,4,3,5,4,5,2
30,"ALB",30,23,113.203,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
31,"ALB",31,23,112.731,"MEDIUM","Williams",11,"Dry",NA,15,4,3,4,3,5,4,5,2
32,"ALB",32,23,114.306,"MEDIUM","Williams",12,"Dry",NA,15,4,3,4,3,5,4,5,2
33,"ALB",33,23,117.737,"MEDIUM","Williams",15,"Dry",NA,15,4,3,4,3,5,4,5,2
34,"ALB",34,23,125.488,"SOFT","Williams",18,"Dry",23.529,15,4,3,4,3,5,4,5,2
35,"ALB",35,23,109.841,"SOFT","Williams",17,"Dry",NA,15,4,3,4,3,5,4,5,2
36,"ALB",36,23,110.82,"SOFT","Williams",17,"Dry",NA,15,4,3,4,3,5,4,5,2
37,"ALB",37,23,111.065,"SOFT","Williams",17,"Dry",NA,15,4,3,4,3,5,4,5,2
38,"ALB",38,23,111.575,"SOFT","Williams",17,"Dry",NA,15,4,3,4,3,5,4,5,2
39,"ALB",39,23,112.918,"SOFT","Williams",17,"Dry",NA,15,4,3,4,3,5,4,5,2
40,"ALB",40,23,112.75,"SOFT","Williams",15,"Dry",NA,15,4,3,4,3,5,4,5,2
41,"ALB",41,23,112.064,"SOFT","Williams",15,"Dry",NA,15,4,3,4,3,5,4,5,2
42,"ALB",42,23,112.918,"SOFT","Williams",14,"Dry",NA,15,4,3,4,3,5,4,5,2
43,"ALB",43,23,111.14,"SOFT","Williams",14,"Dry",NA,15,4,3,4,3,5,4,5,2
44,"ALB",44,23,111.451,"SOFT","Williams",14,"Dry",NA,15,4,3,4,3,5,4,5,2
45,"ALO",1,14,118.27,"MEDIUM","Aston Martin",7,"Dry",NA,9,4,3,4,3,5,4,5,2
46,"ALO",2,14,114.343,"MEDIUM","Aston Martin",6,"Dry",NA,9,4,3,4,3,5,4,5,2
47,"ALO",3,14,114.585,"MEDIUM","Aston Martin",6,"Dry",NA,9,4,3,4,3,5,4,5,2
48,"ALO",4,14,113.395,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
49,"ALO",5,14,113.596,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
50,"ALO",6,14,113.643,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
51,"ALO",7,14,113.455,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
52,"ALO",8,14,113.585,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
53,"ALO",9,14,113.456,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
54,"ALO",10,14,118.157,"MEDIUM","Aston Martin",5,"Dry",NA,9,4,3,4,3,5,4,5,2
55,"ALO",11,14,128.573,"MEDIUM","Aston Martin",9,"Dry",23.085,9,4,3,4,3,5,4,5,2
56,"ALO",12,14,111.942,"MEDIUM","Aston Martin",8,"Dry",NA,9,4,3,4,3,5,4,5,2
57,"ALO",13,14,112.499,"MEDIUM","Aston Martin",8,"Dry",NA,9,4,3,4,3,5,4,5,2
58,"ALO",14,14,111.886,"MEDIUM","Aston Martin",8,"Dry",NA,9,4,3,4,3,5,4,5,2
59,"ALO",15,14,113.029,"MEDIUM","Aston Martin",6,"Dry",NA,9,4,3,4,3,5,4,5,2
