"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,89.175,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
2,"ALB",2,23,79.63,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
3,"ALB",3,23,78.618,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
4,"ALB",4,23,78.78,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
5,"ALB",5,23,78.422,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
6,"ALB",6,23,78.745,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
7,"ALB",7,23,79.316,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
8,"ALB",8,23,93.687,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
9,"ALB",9,23,78.467,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
10,"ALB",10,23,79.319,"MEDIUM","Williams",10,"Dry",NA,9,5,1,2,5,3,5,1,1
11,"ALB",11,23,78.717,"MEDIUM","Williams",9,"Dry",NA,9,5,1,2,5,3,5,1,1
12,"ALB",12,23,110.487,"MEDIUM","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
13,"ALB",13,23,125.716,"HARD","Williams",12,"Dry","25.064",9,5,1,2,5,3,5,1,1
14,"ALB",14,23,127.268,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
15,"ALB",15,23,114.151,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
16,"ALB",16,23,124.986,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
17,"ALB",17,23,80.042,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
18,"ALB",18,23,79.275,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
19,"ALB",19,23,77.882,"HARD","Williams",11,"Dry",NA,9,5,1,2,5,3,5,1,1
20,"ALB",20,23,78.055,"HARD","Williams",11,"Dry",NA,9,5,1,2,5,3,5,1,1
21,"ALB",21,23,79.16,"HARD","Williams",11,"Dry",NA,9,5,1,2,5,3,5,1,1
22,"ALB",22,23,78.868,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
23,"ALB",23,23,78.718,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
24,"ALB",24,23,78.162,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
25,"ALB",25,23,78.775,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
26,"ALB",26,23,78.351,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
27,"ALB",27,23,78.603,"HARD","Williams",12,"Dry",NA,9,5,1,2,5,3,5,1,1
28,"ALB",28,23,78.563,"HARD","Williams",11,"Dry",NA,9,5,1,2,5,3,5,1,1
29,"ALB",29,23,78.168,"HARD","Williams",11,"Dry",NA,9,5,1,2,5,3,5,1,1
30,"ALB",30,23,78.21,"HARD","Williams",11,"Dry",NA,9,5,1,2,5,3,5,1,1
