"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,90.785,"MEDIUM","Williams",8,"Dry",NA,6,3,2,3,3,3,4,2,1
2,"ALB",2,23,87.067,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
3,"ALB",3,23,86.578,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
4,"ALB",4,23,86.684,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
5,"ALB",5,23,86.868,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
6,"ALB",6,23,86.661,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
7,"ALB",7,23,86.773,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
8,"ALB",8,23,86.676,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
9,"ALB",9,23,86.838,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
10,"ALB",10,23,87.305,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
11,"ALB",11,23,87.389,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
12,"ALB",12,23,87.533,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
13,"ALB",13,23,87.676,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
14,"ALB",14,23,87.723,"MEDIUM","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
15,"ALB",15,23,92.301,"MEDIUM","Williams",9,"Dry",NA,6,3,2,3,3,3,4,2,1
16,"ALB",16,23,107.605,"HARD","Williams",13,"Dry",24.538,6,3,2,3,3,3,4,2,1
17,"ALB",17,23,87.087,"HARD","Williams",13,"Dry",NA,6,3,2,3,3,3,4,2,1
18,"ALB",18,23,86.893,"HARD","Williams",13,"Dry",NA,6,3,2,3,3,3,4,2,1
19,"ALB",19,23,87.308,"HARD","Williams",13,"Dry",NA,6,3,2,3,3,3,4,2,1
20,"ALB",20,23,86.853,"HARD","Williams",12,"Dry",NA,6,3,2,3,3,3,4,2,1
21,"ALB",21,23,86.601,"HARD","Williams",12,"Dry",NA,6,3,2,3,3,3,4,2,1
22,"ALB",22,23,86.833,"HARD","Williams",11,"Dry",NA,6,3,2,3,3,3,4,2,1
23,"ALB",23,23,86.913,"HARD","Williams",9,"Dry",NA,6,3,2,3,3,3,4,2,1
24,"ALB",24,23,86.748,"HARD","Williams",8,"Dry",NA,6,3,2,3,3,3,4,2,1
25,"ALB",25,23,86.898,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
26,"ALB",26,23,87.049,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
27,"ALB",27,23,86.735,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
28,"ALB",28,23,87.024,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
29,"ALB",29,23,86.977,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
30,"ALB",30,23,86.94,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
31,"ALB",31,23,86.735,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
32,"ALB",32,23,86.432,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
33,"ALB",33,23,86.389,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
34,"ALB",34,23,86.579,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
35,"ALB",35,23,86.545,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
36,"ALB",36,23,86.981,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
37,"ALB",37,23,86.831,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
38,"ALB",38,23,87.37,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
39,"ALB",39,23,86.802,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
40,"ALB",40,23,86.572,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
41,"ALB",41,23,86.675,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
42,"ALB",42,23,86.708,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
43,"ALB",43,23,86.913,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
44,"ALB",44,23,87.725,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
45,"ALB",45,23,86.907,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
46,"ALB",46,23,87.252,"HARD","Williams",6,"Dry",NA,6,3,2,3,3,3,4,2,1
47,"ALB",47,23,88.491,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
48,"ALB",48,23,86.822,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
49,"ALB",49,23,87.569,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
50,"ALB",50,23,87.197,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
51,"ALB",51,23,87.433,"HARD","Williams",7,"Dry",NA,6,3,2,3,3,3,4,2,1
52,"ALB",52,23,NA,"HARD","Williams",NA,"Dry",NA,6,3,2,3,3,3,4,2,1
53,"ALO",1,14,93.34,"MEDIUM","Aston Martin",12,"Dry",NA,10,3,2,3,3,3,4,2,1
54,"ALO",2,14,88.012,"MEDIUM","Aston Martin",11,"Dry",NA,10,3,2,3,3,3,4,2,1
55,"ALO",3,14,87.546,"MEDIUM","Aston Martin",11,"Dry",NA,10,3,2,3,3,3,4,2,1
56,"ALO",4,14,87.221,"MEDIUM","Aston Martin",11,"Dry",NA,10,3,2,3,3,3,4,2,1
57,"ALO",5,14,87.033,"MEDIUM","Aston Martin",11,"Dry",NA,10,3,2,3,3,3,4,2,1
58,"ALO",6,14,87.175,"MEDIUM","Aston Martin",11,"Dry",NA,10,3,2,3,3,3,4,2,1
59,"ALO",7,14,86.929,"MEDIUM","Aston Martin",11,"Dry",NA,10,3,2,3,3,3,4,2,1
60,"ALO",8,14,86.943,"MEDIUM","Aston Martin",10,"Dry",NA,10,3,2,3,3,3,4,2,1
61,"ALO",9,14,87.383,"MEDIUM","Aston Martin",10,"Dry",NA,10,3,2,3,3,3,4,2,1
62,"ALO",10,14,87.368,"MEDIUM","Aston Martin",10,"Dry",NA,10,3,2,3,3,3,4,2,1
