"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,145.855,"MEDIUM","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
2,"ALB",2,23,NA,"MEDIUM","Williams",19,"Dry","50.143",13,3,3,4,3,5,2,5,4
3,"ALB",3,23,NA,"MEDIUM","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
4,"ALB",4,23,NA,"MEDIUM","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
5,"ALB",5,23,101.436,"MEDIUM","Williams",18,"Dry",NA,13,3,3,4,3,5,2,5,4
6,"ALB",6,23,101.273,"MEDIUM","Williams",18,"Dry",NA,13,3,3,4,3,5,2,5,4
7,"ALB",7,23,100.904,"MEDIUM","Williams",18,"Dry",NA,13,3,3,4,3,5,2,5,4
8,"ALB",8,23,101.168,"MEDIUM","Williams",18,"Dry",NA,13,3,3,4,3,5,2,5,4
9,"ALB",9,23,100.764,"MEDIUM","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
10,"ALB",10,23,100.45,"MEDIUM","Williams",15,"Dry",NA,13,3,3,4,3,5,2,5,4
11,"ALB",11,23,101.14,"MEDIUM","Williams",14,"Dry",NA,13,3,3,4,3,5,2,5,4
12,"ALB",12,23,102.28,"MEDIUM","Williams",11,"Dry",NA,13,3,3,4,3,5,2,5,4
13,"ALB",13,23,110.904,"MEDIUM","Williams",12,"Dry",NA,13,3,3,4,3,5,2,5,4
14,"ALB",14,23,148.318,"SOFT","Williams",17,"Dry","52.165",13,3,3,4,3,5,2,5,4
15,"ALB",15,23,99.185,"SOFT","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
16,"ALB",16,23,99.549,"SOFT","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
17,"ALB",17,23,99.93,"SOFT","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
18,"ALB",18,23,100.339,"SOFT","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
19,"ALB",19,23,99.872,"SOFT","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
20,"ALB",20,23,100.098,"SOFT","Williams",17,"Dry",NA,13,3,3,4,3,5,2,5,4
21,"ALB",21,23,100.421,"SOFT","Williams",16,"Dry",NA,13,3,3,4,3,5,2,5,4
22,"ALB",22,23,100.071,"SOFT","Williams",16,"Dry",NA,13,3,3,4,3,5,2,5,4
23,"ALB",23,23,99.919,"SOFT","Williams",16,"Dry",NA,13,3,3,4,3,5,2,5,4
24,"ALB",24,23,100.147,"SOFT","Williams",16,"Dry",NA,13,3,3,4,3,5,2,5,4
25,"ALB",25,23,100.286,"SOFT","Williams",16,"Dry",NA,13,3,3,4,3,5,2,5,4
26,"ALB",26,23,108.437,"SOFT","Williams",16,"Dry",NA,13,3,3,4,3,5,2,5,4
27,"ALO",1,14,129.194,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
28,"ALO",2,14,NA,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
29,"ALO",3,14,NA,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
30,"ALO",4,14,NA,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
31,"ALO",5,14,99.508,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
32,"ALO",6,14,99.488,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
33,"ALO",7,14,99.138,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
34,"ALO",8,14,99.15,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
35,"ALO",9,14,99.884,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
36,"ALO",10,14,99.697,"SOFT","Aston Martin",6,"Dry",NA,10,3,3,4,3,5,2,5,4
37,"ALO",11,14,102.32,"SOFT","Aston Martin",7,"Dry",NA,10,3,3,4,3,5,2,5,4
38,"ALO",12,14,118.522,"HARD","Aston Martin",12,"Dry","24.086",10,3,3,4,3,5,2,5,4
39,"ALO",13,14,104.729,"HARD","Aston Martin",11,"Dry",NA,10,3,3,4,3,5,2,5,4
40,"ALO",14,14,112.044,"HARD","Aston Martin",11,"Dry",NA,10,3,3,4,3,5,2,5,4
41,"ALO",15,14,98.126,"HARD","Aston Martin",10,"Dry",NA,10,3,3,4,3,5,2,5,4
42,"ALO",16,14,98.651,"HARD","Aston Martin",10,"Dry",NA,10,3,3,4,3,5,2,5,4
43,"ALO",17,14,98.412,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
44,"ALO",18,14,99.263,"HARD","Aston Martin",7,"Dry",NA,10,3,3,4,3,5,2,5,4
45,"ALO",19,14,100.092,"HARD","Aston Martin",7,"Dry",NA,10,3,3,4,3,5,2,5,4
46,"ALO",20,14,101.133,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
47,"ALO",21,14,101.105,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
48,"ALO",22,14,100.041,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
49,"ALO",23,14,101.023,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
50,"ALO",24,14,99.754,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
51,"ALO",25,14,103.68,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
52,"ALO",26,14,116.635,"HARD","Aston Martin",12,"Dry","24.294",10,3,3,4,3,5,2,5,4
53,"ALO",27,14,97.308,"HARD","Aston Martin",11,"Dry",NA,10,3,3,4,3,5,2,5,4
54,"ALO",28,14,97.203,"HARD","Aston Martin",11,"Dry",NA,10,3,3,4,3,5,2,5,4
55,"ALO",29,14,98.749,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
56,"ALO",30,14,97.273,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
57,"ALO",31,14,97.582,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
58,"ALO",32,14,97.628,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
59,"ALO",33,14,97.335,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
60,"ALO",34,14,97.461,"HARD","Aston Martin",9,"Dry",NA,10,3,3,4,3,5,2,5,4
61,"ALO",35,14,98.27,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
62,"ALO",36,14,98.009,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
63,"ALO",37,14,98.139,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
64,"ALO",38,14,98,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
65,"ALO",39,14,98.036,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
66,"ALO",40,14,98.059,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
67,"ALO",41,14,98.182,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
68,"ALO",42,14,98.357,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
69,"ALO",43,14,98.413,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
70,"ALO",44,14,98.699,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
71,"ALO",45,14,98.432,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
72,"ALO",46,14,98.413,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
73,"ALO",47,14,98.637,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
74,"ALO",48,14,98.406,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
75,"ALO",49,14,98.809,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
76,"ALO",50,14,99.155,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
77,"ALO",51,14,99.221,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
78,"ALO",52,14,99.232,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
79,"ALO",53,14,99.65,"HARD","Aston Martin",8,"Dry",NA,10,3,3,4,3,5,2,5,4
80,"BOT",1,77,174.634,"SOFT","Alfa Romeo",20,"Dry",NA,16,3,3,4,3,5,2,5,4
81,"BOT",2,77,NA,"SOFT","Alfa Romeo",20,"Dry","55.802",16,3,3,4,3,5,2,5,4
82,"BOT",3,77,140.615,"SOFT","Alfa Romeo",20,"Dry",NA,16,3,3,4,3,5,2,5,4
83,"BOT",4,77,NA,"SOFT","Alfa Romeo",20,"Dry",NA,16,3,3,4,3,5,2,5,4
84,"BOT",5,77,122.755,"SOFT","Alfa Romeo",20,"Dry",NA,16,3,3,4,3,5,2,5,4
85,"BOT",6,77,106.852,"SOFT","Alfa Romeo",19,"Dry",NA,16,3,3,4,3,5,2,5,4
86,"BOT",7,77,NA,"HARD","Alfa Romeo",20,"Dry","53.512",16,3,3,4,3,5,2,5,4
87,"GAS",1,10,142.428,"MEDIUM","Alpine",14,"Dry",NA,12,3,3,4,3,5,2,5,4
88,"GAS",2,10,NA,"MEDIUM","Alpine",14,"Dry",NA,12,3,3,4,3,5,2,5,4
89,"GAS",3,10,NA,"MEDIUM","Alpine",13,"Dry",NA,12,3,3,4,3,5,2,5,4
