"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,112.364,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
2,"ALB",2,23,130.827,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
3,"ALB",3,23,110.764,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
4,"ALB",4,23,NA,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
5,"ALB",5,23,NA,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
6,"ALB",6,23,NA,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
7,"ALB",7,23,102.484,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
8,"ALB",8,23,100.682,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
9,"ALB",9,23,100.37,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
10,"ALB",10,23,100.097,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
11,"ALB",11,23,99.964,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
12,"ALB",12,23,99.283,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
13,"ALB",13,23,99.733,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
14,"ALB",14,23,100.042,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
15,"ALB",15,23,100.515,"MEDIUM","Williams",5,"Dry",NA,5,2,3,3,5,3,3,2,1
16,"ALB",16,23,105.842,"MEDIUM","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
17,"ALB",17,23,117.184,"HARD","Williams",13,"Dry",21.242,5,2,3,3,5,3,3,2,1
18,"ALB",18,23,99.548,"HARD","Williams",11,"Dry",NA,5,2,3,3,5,3,3,2,1
19,"ALB",19,23,99.834,"HARD","Williams",11,"Dry",NA,5,2,3,3,5,3,3,2,1
20,"ALB",20,23,99.309,"HARD","Williams",11,"Dry",NA,5,2,3,3,5,3,3,2,1
21,"ALB",21,23,98.688,"HARD","Williams",10,"Dry",NA,5,2,3,3,5,3,3,2,1
22,"ALB",22,23,99.061,"HARD","Williams",11,"Dry",NA,5,2,3,3,5,3,3,2,1
23,"ALB",23,23,98.609,"HARD","Williams",11,"Dry",NA,5,2,3,3,5,3,3,2,1
24,"ALB",24,23,99.166,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
25,"ALB",25,23,99.279,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
26,"ALB",26,23,115.77,"HARD","Williams",11,"Dry",NA,5,2,3,3,5,3,3,2,1
27,"ALB",27,23,NA,"HARD","Williams",8,"Dry",NA,5,2,3,3,5,3,3,2,1
28,"ALB",28,23,NA,"HARD","Williams",8,"Dry",NA,5,2,3,3,5,3,3,2,1
29,"ALB",29,23,100.665,"HARD","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
30,"ALB",30,23,98.865,"HARD","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
31,"ALB",31,23,97.996,"HARD","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
32,"ALB",32,23,98.07,"HARD","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
33,"ALB",33,23,97.789,"HARD","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
34,"ALB",34,23,97.96,"HARD","Williams",7,"Dry",NA,5,2,3,3,5,3,3,2,1
35,"ALB",35,23,98.394,"HARD","Williams",8,"Dry",NA,5,2,3,3,5,3,3,2,1
36,"ALB",36,23,98.491,"HARD","Williams",8,"Dry",NA,5,2,3,3,5,3,3,2,1
37,"ALB",37,23,98.099,"HARD","Williams",8,"Dry",NA,5,2,3,3,5,3,3,2,1
38,"ALB",38,23,97.788,"HARD","Williams",8,"Dry",NA,5,2,3,3,5,3,3,2,1
39,"ALB",39,23,98.652,"HARD","Williams",9,"Dry",NA,5,2,3,3,5,3,3,2,1
40,"ALB",40,23,101.17,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
41,"ALB",41,23,99.349,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
42,"ALB",42,23,98.718,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
43,"ALB",43,23,98.565,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
44,"ALB",44,23,99.131,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
45,"ALB",45,23,98.508,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
46,"ALB",46,23,98.284,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
47,"ALB",47,23,98.398,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
48,"ALB",48,23,98.096,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
49,"ALB",49,23,97.875,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
50,"ALB",50,23,97.357,"HARD","Williams",12,"Dry",NA,5,2,3,3,5,3,3,2,1
51,"ALO",1,14,144.948,"MEDIUM","Aston Martin",19,"Dry",NA,9,2,3,3,5,3,3,2,1
52,"ALO",2,14,136.058,"HARD","Aston Martin",19,"Dry",29.304,9,2,3,3,5,3,3,2,1
53,"ALO",3,14,120.953,"HARD","Aston Martin",18,"Dry",NA,9,2,3,3,5,3,3,2,1
54,"ALO",4,14,NA,"HARD","Aston Martin",18,"Dry",NA,9,2,3,3,5,3,3,2,1
55,"ALO",5,14,NA,"HARD","Aston Martin",18,"Dry",NA,9,2,3,3,5,3,3,2,1
56,"ALO",6,14,144.971,"HARD","Aston Martin",18,"Dry",NA,9,2,3,3,5,3,3,2,1
57,"ALO",7,14,104.117,"HARD","Aston Martin",17,"Dry",NA,9,2,3,3,5,3,3,2,1
58,"ALO",8,14,101.247,"HARD","Aston Martin",17,"Dry",NA,9,2,3,3,5,3,3,2,1
59,"ALO",9,14,100.477,"HARD","Aston Martin",17,"Dry",NA,9,2,3,3,5,3,3,2,1
60,"ALO",10,14,101.68,"HARD","Aston Martin",16,"Dry",NA,9,2,3,3,5,3,3,2,1
61,"ALO",11,14,100.779,"HARD","Aston Martin",17,"Dry",NA,9,2,3,3,5,3,3,2,1
62,"ALO",12,14,100.034,"HARD","Aston Martin",16,"Dry",NA,9,2,3,3,5,3,3,2,1
63,"ALO",13,14,100.409,"HARD","Aston Martin",15,"Dry",NA,9,2,3,3,5,3,3,2,1
64,"ALO",14,14,97.964,"HARD","Aston Martin",14,"Dry",NA,9,2,3,3,5,3,3,2,1
65,"ALO",15,14,98.547,"HARD","Aston Martin",13,"Dry",NA,9,2,3,3,5,3,3,2,1
66,"ALO",16,14,101.693,"HARD","Aston Martin",12,"Dry",NA,9,2,3,3,5,3,3,2,1
67,"ALO",17,14,100.083,"HARD","Aston Martin",8,"Dry",NA,9,2,3,3,5,3,3,2,1
68,"ALO",18,14,99.603,"HARD","Aston Martin",6,"Dry",NA,9,2,3,3,5,3,3,2,1
69,"ALO",19,14,99.256,"HARD","Aston Martin",6,"Dry",NA,9,2,3,3,5,3,3,2,1
70,"ALO",20,14,99.185,"HARD","Aston Martin",6,"Dry",NA,9,2,3,3,5,3,3,2,1
71,"ALO",21,14,99.602,"HARD","Aston Martin",5,"Dry",NA,9,2,3,3,5,3,3,2,1
72,"ALO",22,14,100.032,"HARD","Aston Martin",6,"Dry",NA,9,2,3,3,5,3,3,2,1
73,"ALO",23,14,100.929,"HARD","Aston Martin",7,"Dry",NA,9,2,3,3,5,3,3,2,1
