"X","driver","lap_number","driver_number","lap_time","tyre","team","position","rainfall","pitstop_duration","start_position","traction","asphalt_grip","asphalt_abrasion","track_evol","tyre_stress","braking","lateral","downforce"
1,"ALB",1,23,100.625,"MEDIUM","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
2,"ALB",2,23,93.56,"MEDIUM","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
3,"ALB",3,23,91.768,"MEDIUM","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
4,"ALB",4,23,91.591,"MEDIUM","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
5,"ALB",5,23,91.422,"MEDIUM","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
6,"ALB",6,23,91.491,"MEDIUM","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
7,"ALB",7,23,91.438,"MEDIUM","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
8,"ALB",8,23,91.58,"MEDIUM","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
9,"ALB",9,23,91.644,"MEDIUM","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
10,"ALB",10,23,91.978,"MEDIUM","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
11,"ALB",11,23,91.962,"MEDIUM","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
12,"ALB",12,23,91.958,"MEDIUM","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
13,"ALB",13,23,91.7,"MEDIUM","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
14,"ALB",14,23,91.655,"MEDIUM","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
15,"ALB",15,23,91.729,"MEDIUM","Williams",11,"Dry",NA,14,4,4,3,4,3,4,3,3
16,"ALB",16,23,94.282,"MEDIUM","Williams",12,"Dry",NA,14,4,4,3,4,3,4,3,3
17,"ALB",17,23,111.901,"HARD","Williams",19,"Dry",22.17,14,4,4,3,4,3,4,3,3
18,"ALB",18,23,90.463,"HARD","Williams",19,"Dry",NA,14,4,4,3,4,3,4,3,3
19,"ALB",19,23,90.573,"HARD","Williams",19,"Dry",NA,14,4,4,3,4,3,4,3,3
20,"ALB",20,23,90.392,"HARD","Williams",19,"Dry",NA,14,4,4,3,4,3,4,3,3
21,"ALB",21,23,90.54,"HARD","Williams",19,"Dry",NA,14,4,4,3,4,3,4,3,3
22,"ALB",22,23,90.706,"HARD","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
23,"ALB",23,23,90.272,"HARD","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
24,"ALB",24,23,90.511,"HARD","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
25,"ALB",25,23,90.655,"HARD","Williams",18,"Dry",NA,14,4,4,3,4,3,4,3,3
26,"ALB",26,23,90.092,"HARD","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
27,"ALB",27,23,90.728,"HARD","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
28,"ALB",28,23,90.631,"HARD","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
29,"ALB",29,23,90.588,"HARD","Williams",17,"Dry",NA,14,4,4,3,4,3,4,3,3
30,"ALB",30,23,90.591,"HARD","Williams",16,"Dry",NA,14,4,4,3,4,3,4,3,3
31,"ALB",31,23,90.555,"HARD","Williams",16,"Dry",NA,14,4,4,3,4,3,4,3,3
32,"ALB",32,23,90.35,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
33,"ALB",33,23,90.447,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
34,"ALB",34,23,90.026,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
35,"ALB",35,23,89.987,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
36,"ALB",36,23,90.341,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
37,"ALB",37,23,90.413,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
38,"ALB",38,23,90.238,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
39,"ALB",39,23,90.497,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
40,"ALB",40,23,90.331,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
41,"ALB",41,23,90.31,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
42,"ALB",42,23,90.355,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
43,"ALB",43,23,92.175,"HARD","Williams",13,"Dry",NA,14,4,4,3,4,3,4,3,3
44,"ALB",44,23,109.385,"HARD","Williams",17,"Dry",21.919,14,4,4,3,4,3,4,3,3
45,"ALB",45,23,87.845,"HARD","Williams",16,"Dry",NA,14,4,4,3,4,3,4,3,3
46,"ALB",46,23,88.694,"HARD","Williams",16,"Dry",NA,14,4,4,3,4,3,4,3,3
47,"ALB",47,23,88.74,"HARD","Williams",16,"Dry",NA,14,4,4,3,4,3,4,3,3
48,"ALB",48,23,88.92,"HARD","Williams",16,"Dry",NA,14,4,4,3,4,3,4,3,3
49,"ALB",49,23,88.761,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
50,"ALB",50,23,89.011,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
51,"ALB",51,23,88.675,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
52,"ALB",52,23,88.402,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
53,"ALB",53,23,88.608,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
54,"ALB",54,23,88.812,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
55,"ALB",55,23,88.742,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
56,"ALB",56,23,88.743,"HARD","Williams",15,"Dry",NA,14,4,4,3,4,3,4,3,3
57,"ALB",57,23,88.749,"HARD","Williams",14,"Dry",NA,14,4,4,3,4,3,4,3,3
